area,avg,floor,info,market,title,total,xiaoqu
武夷花园,单价52123元/平米,高楼层(共12层)2004年建板楼  -  , | 2室1厅 | 105.52平米 | 南 北 | 精装,6人关注 / 14天以前发布,"：
全明双通透南北户型，采光好，交通便利次顶带露台",550,加华印象街 
乔庄,单价39745元/平米,高楼层(共6层)1994年建板楼  -  , | 2室1厅 | 87.56平米 | 南 北 | 精装,120人关注 / 一年前发布,满五唯一，中间层正规两居室。南北通透,348,艺苑东街4号院 
万达,单价49027元/平米,高楼层(共6层)1992年建板楼  -  , | 2室1厅 | 68.33平米 | 南 北 | 精装,1人关注 / 5天以前发布,中仓小区 2室1厅 335万,335,中仓小区 
万达,单价38532元/平米,中楼层(共6层)1996年建板楼  -  , | 2室1厅 | 93.43平米 | 南 北 | 简装,28人关注 / 4个月以前发布,万达广场，八通线地铁附近，单价不高,360,旅游新村 
潞苑,单价41794元/平米,11层2010年建板塔结合  -  , | 2室1厅 | 101.69平米 | 南 | 精装,37人关注 / 1个月以前发布,珠江拉维小镇  带电梯 板楼 洋房 正规2居 南向,425,珠江拉维小镇 
临河里,单价43832元/平米,中楼层(共28层)2012年建板塔结合  -  , | 2室1厅 | 78.71平米 | 南 | 简装,33人关注 / 20天以前发布,2012年社区345万的正规两居室 满五年 中间层带电梯,345,新城乐居 
武夷花园,单价66813元/平米,中楼层(共20层)2012年建板塔结合  -  , | 2室1厅 | 82.32平米 | 南 | 精装,17人关注 / 16天以前发布,此房精装修，业主没怎么住，直接观小区核心花园,550,百合湾 
乔庄,单价51082元/平米,中楼层(共6层)1991年建板楼  -  , | 2室1厅 | 56.38平米 | 南 北 | 简装,14人关注 / 2个月以前发布,玉桥北里 2室1厅 288万,288,玉桥北里 
乔庄,单价48878元/平米,高楼层(共6层)1992年建板楼  -  , | 2室1厅 | 57.9平米 | 东南 | 精装,10人关注 / 2个月以前发布,玉桥北里 2室1厅 283万,283,玉桥北里 
梨园,单价45952元/平米,低楼层(共28层)2009年建板塔结合  -  , | 2室1厅 | 95.1平米 | 东 西 | 精装,8人关注 / 1个月以前发布,新通国际花园 2室1厅 437万,437,新通国际花园 
梨园,单价47336元/平米,高楼层(共6层)2007年建板楼  -  , | 2室1厅 | 82.39平米 | 南 北 | 精装,17人关注 / 15天以前发布,桃花岛，南北通透，满两年，采光好，视野好，诚售,390,桃花岛 
九棵树(家乐福),单价42167元/平米,高楼层(共27层)2010年建板塔结合  -  , | 2室1厅 | 89.17平米 | 东 南 | 简装,1人关注 / 26天以前发布,通景园 2室1厅 376万,376,通景园 
潞苑,单价50535元/平米,低楼层(共21层)2013年建板塔结合  -  , | 2室1厅 | 85.09平米 | 南 | 精装,28人关注 / 4个月以前发布,东亚逸品阁小区  精装修 满二年 南向两居室,430,东亚逸品阁 
九棵树(家乐福),单价48882元/平米,中楼层(共14层)2005年建板塔结合  -  , | 2室2厅 | 120.7平米 | 南 | 简装,10人关注 / 1个月以前发布,瑞都国际南区2+1户型，电梯房，人车分流，南向,590,瑞都国际南区 
武夷花园,单价60641元/平米,40层2013年建塔楼  -  , | 2室1厅 | 87.4平米 | 东南 | 精装,26人关注 / 3个月以前发布,品质社区，东南阳面朝向，精装修两居室！,530,京贸国际城西区 
果园,单价44011元/平米,中楼层(共7层)2002年建板楼  -  , | 2室1厅 | 90.66平米 | 西南 | 毛坯,36人关注 / 1个月以前发布,果园新华联家园南区 满五年 两居室,399,新华联家园南区 
临河里,单价49888元/平米,中楼层(共15层)2008年建板塔结合  -  , | 2室1厅 | 71.16平米 | 南 | 精装,12人关注 / 22天以前发布,金隅七零九零  南向精装两居室  中高楼层温馨舒适,355,金隅七零九零 
万达,单价65071元/平米,高楼层(共23层)2015年建板楼  -  , | 2室1厅 | 76.84平米 | 南 北 | 精装,20人关注 / 20天以前发布,通州北苑  万达商圈  精装修  两居室  次顶层,500,帅府园二期 
武夷花园,单价61353元/平米,中楼层(共32层)2011年建板楼  -  , | 2室1厅 | 86.06平米 | 南 | 精装,21人关注 / 1个月以前发布,运河湾北区 南向精装两居室  满五年,528,运河湾 
潞苑,单价43473元/平米,低楼层(共28层)2016年建板塔结合  -  , | 2室1厅 | 80.51平米 | 南 北 | 精装,13人关注 / 2个月以前发布,中国铁建通瑞嘉苑 2室1厅 350万,350,中国铁建通瑞嘉苑 
武夷花园,单价53995元/平米,中楼层(共12层)2003年建板楼  -  , | 2室1厅 | 95.38平米 | 南 北 | 简装,24人关注 / 2个月以前发布,河畔丽景 2室1厅 515万,515,河畔丽景 
