agent,avg,date,feature,floor,guapai,info,price,title
王瑞杰,34579,2019.06.29,房屋满五年,中楼层(共22层) 2012年建板塔结合,挂牌246万成交周期101天,东 | 精装,236万,中建雅颂居 1室0厅 68.25平米
,53070,2019.06.29,挂牌492万成交周期118天,中楼层(共18层) 2014年建板楼,,南 北 | 精装,472万,合生滨江帝景 2室1厅 88.94平米
王焕淞,45787,2019.06.29,房屋满五年,高楼层(共7层) 2003年建板楼,挂牌380万成交周期59天,南 北 | 精装,370万,西上园四区 2室1厅 80.81平米
王金磊,42936,2019.06.29,房屋满五年近地铁,低楼层(共6层) 1998年建板楼,挂牌307万成交周期112天,南 北 | 精装,291万,怡乐北街 2室1厅 67.66平米
史守业,43411,2019.06.29,房屋满两年近地铁,中楼层(共7层) 2003年建板楼,挂牌600万成交周期115天,南 北 | 简装,560万,日光清城 3室1厅 129平米
陈合普,52259,2019.06.29,房屋满两年近地铁,顶层(共6层) 2003年建板楼,挂牌570万成交周期111天,南 北 | 精装,545万,新华联锦园 3室2厅 104.29平米
郭树洋,51607,2019.06.29,房屋满两年,中楼层(共4层) 暂无数据,挂牌1180万成交周期219天,南 北 | 精装,1092万,中建红杉溪谷 5室2厅 211.6平米
刘建章,44650,2019.06.28,房屋满五年近地铁,中楼层(共5层) 2002年建板楼,挂牌320万成交周期256天,南 北 | 简装,308万,鑫苑小区 1室1厅 68.87平米
史志鑫,41477,2019.06.28,房屋满五年近地铁,中楼层(共7层) 2002年建板楼,挂牌415万成交周期39天,南 北 | 精装,400万,达富苑 2室2厅 96.44平米
,44390,2019.06.28,挂牌237万成交周期8天,高楼层(共28层) 2016年建板塔结合,,南 | 简装,235万,中国铁建通瑞嘉苑 1室1厅 52.94平米
王彩云,49276,2019.06.28,房屋满五年近地铁,高楼层(共24层) 2005年建板塔结合,挂牌650万成交周期27天,南 北 | 精装,605万,瑞都国际南区 3室2厅 122.78平米
钱银刚,39864,2019.06.28,房屋满两年近地铁,底层(共6层) 1991年建板楼,挂牌262万成交周期48天,南 北 | 简装,245万,梨园100号院 2室1厅 61.46平米
刘以飞,57159,2019.06.27,房屋满五年,底层(共5层) 2006年建板楼,挂牌660万成交周期74天,南 北 | 简装,620万,BOBO自由城 2室2厅 108.47平米
武春菊,52663,2019.07.08,房屋满五年近地铁,低楼层(共18层) 2005年建板楼,挂牌276万成交周期36天,南 | 简装,270万,雅丽世居 1室0厅 51.27平米
张敬安,45540,2019.07.01,房屋满五年,低楼层(共11层) 2005年建板塔结合,挂牌279万成交周期252天,北 | 精装,267万,荔景园 1室1厅 58.63平米
惠星,46592,2019.06.27,近地铁,低楼层(共29层) 2008年建塔楼,挂牌498万成交周期20天,西南 | 简装,490万,运河明珠 2室1厅 105.17平米
常元元,41296,2019.06.27,房屋满五年,高楼层(共6层) 1994年建板楼,挂牌323万成交周期26天,南 北 | 精装,320万,永顺北街 2室1厅 77.49平米
王雷,35470,2019.06.27,房屋满五年,中楼层(共6层) 2007年建板楼,挂牌345万成交周期78天,南 北 | 简装,326万,翠福园 2室2厅 91.91平米
孙慧,48260,2019.06.27,房屋满两年,低楼层(共6层) 2004年建板楼,挂牌330万成交周期70天,南 北 | 精装,305万,杨庄22号院 1室1厅 63.2平米
杨晓旭,20831,2019.06.27,房屋满两年,中楼层(共7层) 2013年建板塔结合,挂牌123万成交周期184天,西 | 精装,110万,金隅自由筑 3房间1卫 52.76平米
郭士强,53000,2019.06.27,房屋满五年,低楼层(共7层) 2001年建板楼,挂牌470万成交周期4天,南 北 | 简装,463万,武夷花园牡丹园 2室1厅 87.36平米
