agent,avg,date,feature,floor,guapai,info,price,title
李云鹏,41316,2019.06.22,房屋满五年近地铁,顶层(共7层) 2002年建板楼,挂牌340万成交周期172天,南 北 | 简装,328万,达富苑 2室1厅 79.39平米
樊林,40575,2019.06.21,房屋满五年,中楼层(共6层) 2002年建板楼,挂牌280万成交周期22天,南 北 | 简装,273万,皓月苑 2室1厅 67.16平米
韩超,47466,2019.06.21,房屋满两年,中楼层(共5层) 1977年建板楼,挂牌249万成交周期163天,东 | 简装,243万,新城东里 2室1厅 51.09平米
倪俊,33645,2019.06.21,房屋满五年,高楼层(共22层) 2008年建板塔结合,挂牌300万成交周期4天,东 西 | 精装,288万,大方居 2室1厅 85.6平米
郑光,44689,2019.06.20,房屋满五年,低楼层(共32层) 2008年建板楼,挂牌490万成交周期74天,南 北 | 精装,467万,世纪星城三期 2室2厅 104.5平米
张东亚,47782,2019.06.20,房屋满五年,底层(共7层) 2002年建板楼,挂牌440万成交周期47天,南 北 | 精装,419万,武夷花园牡丹园 2室1厅 87.69平米
张帅,42307,2019.06.20,房屋满五年近地铁,中楼层(共5层) 1992年建板楼,挂牌265万成交周期85天,东 西 | 简装,259万,葛布店北里 2室1厅 61.22平米
周丰,49083,2019.06.20,房屋满五年近地铁,中楼层(共28层) 2012年建板塔结合,挂牌382万成交周期5天,南 北 | 精装,390万,新城乐居 2室1厅 79.26平米
梁士鹏,40362,2019.06.19,房屋满五年,高楼层(共28层) 2011年建板塔结合,挂牌348万成交周期62天,南 | 简装,335万,金隅通和园 2室2厅 83平米
李阳,45902,2019.06.19,房屋满五年,中楼层(共7层) 2004年建板楼,挂牌415万成交周期16天,南 北 | 简装,400万,巴克寓所 2室1厅 87.1平米
丁毕蓉,37927,2019.06.19,房屋满五年近地铁,低楼层(共22层) 2011年建暂无数据,挂牌320万成交周期85天,南 | 简装,316万,金隅通和园 2室1厅 83.32平米
郑爽,47823,2019.06.19,房屋满五年,中楼层(共7层) 1997年建板楼,挂牌358万成交周期39天,南 北 | 简装,336万,新华小区 2室1厅 70.26平米
侯召军,53231,2019.06.19,房屋满两年,低楼层(共40层) 2013年建塔楼,挂牌535万成交周期74天,南 | 精装,505万,京贸国际城西区 2室1厅 94.87平米
惠星,46592,2019.06.27,近地铁,低楼层(共29层) 2008年建塔楼,挂牌498万成交周期20天,西南 | 简装,490万,运河明珠 2室1厅 105.17平米
刘学,42025,2019.06.19,房屋满五年,顶层(共6层) 2008年建板楼,挂牌338万成交周期26天,南 北 | 精装,313万,旗舰凯旋二三期 2室1厅 74.48平米
徐海洋,46741,2019.06.19,房屋满两年,高楼层(共14层) 2014年建塔楼,挂牌180万成交周期58天,东 | 其他,174万,百合湾 3房间2卫 37.12平米
,44851,2019.06.19,挂牌260万成交周期231天,中楼层(共6层) 1991年建板楼,,南 北 | 简装,253万,粮所家属楼 2室1厅 56.41平米
陶元,37668,2019.06.19,房屋满五年,顶层(共5层) 2005年建板楼,挂牌288万成交周期110天,南 北 | 精装,279万,翠福园 2室1厅 74.07平米
高远,39250,2019.06.19,房屋满五年,中楼层(共12层) 2003年建板塔结合,挂牌410万成交周期24天,南 北 | 其他,385万,馨通家园 2室1厅 98.09平米
刘伟强,38102,2019.06.19,房屋满五年,中楼层(共6层) 2001年建板楼,挂牌302万成交周期22天,南 北 | 简装,293万,西马庄园 2室1厅 76.9平米
,27471,2019.06.19,挂牌239万成交周期236天,中楼层(共11层) 2017年建板楼,,南 北 | 毛坯,229万,首开缇香郡二期 2室1厅 83.18平米
张政睿,53771,2019.06.19,房屋满五年,中楼层(共24层) 2010年建板塔结合,挂牌500万成交周期92天,南 | 精装,482万,海棠湾一期 2室2厅 89.64平米
崔忠亚,32671,2019.06.18,房屋满五年,中楼层(共22层) 2008年建板塔结合,挂牌310万成交周期343天,西 | 精装,294万,大方居 2室1厅 89.99平米
薛建峰,40811,2019.06.18,房屋满五年,中楼层(共6层) 1994年建板楼,挂牌280万成交周期360天,南 北 | 其他,270万,永顺西里 2室1厅 66.16平米
杨海军,42746,2019.06.18,房屋满五年,中楼层(共12层) 2003年建板塔结合,挂牌400万成交周期5天,东南 | 其他,393万,馨通家园 2室1厅 91.94平米
闫其文,42716,2019.06.17,房屋满五年,底层(共7层) 2002年建板楼,挂牌385万成交周期101天,南 北 | 精装,370万,富河园 2室1厅 86.62平米
孙艳超,40125,2019.06.17,房屋满五年近地铁,底层(共6层) 2003年建板楼,挂牌368万成交周期121天,南 北 | 精装,361万,朝通嘉园 2室1厅 89.97平米
常元元,41296,2019.06.27,房屋满五年,高楼层(共6层) 1994年建板楼,挂牌323万成交周期26天,南 北 | 精装,320万,永顺北街 2室1厅 77.49平米
王雷,35470,2019.06.27,房屋满五年,中楼层(共6层) 2007年建板楼,挂牌345万成交周期78天,南 北 | 简装,326万,翠福园 2室2厅 91.91平米
杨晓旭,20831,2019.06.27,房屋满两年,中楼层(共7层) 2013年建板塔结合,挂牌123万成交周期184天,西 | 精装,110万,金隅自由筑 3房间1卫 52.76平米
郭士强,53000,2019.06.27,房屋满五年,低楼层(共7层) 2001年建板楼,挂牌470万成交周期4天,南 北 | 简装,463万,武夷花园牡丹园 2室1厅 87.36平米
张艳梅,36134,2019.06.27,房屋满五年,高楼层(共6层) 2004年建板楼,挂牌350万成交周期179天,南 北 | 精装,342万,西潞苑小区 2室2厅 94.51平米
赵海瑞,29547,2019.06.26,房屋满五年,低楼层(共14层) 2009年建板楼,挂牌292万成交周期46天,南 | 精装,285万,珠江逸景 2室1厅 96.29平米
,50035,2019.06.26,挂牌450万成交周期22天,中楼层(共6层) 2002年建板楼,,南 北 | 其他,440万,运河园8号院 2室2厅 87.86平米
郝燕海,46271,2019.06.26,房屋满五年,中楼层(共10层) 2004年建板塔结合,挂牌520万成交周期23天,东南 | 其他,500万,武夷花园牡丹园 2室2厅 108.06平米
李登科,22979,2019.06.26,房屋满两年,高楼层(共7层) 2013年建板塔结合,挂牌170万成交周期19天,南 | 其他,156万,金隅自由筑 3房间1卫 67.89平米
赵玉英,37875,2019.06.26,房屋满五年近地铁,底层(共7层) 2002年建板楼,挂牌333万成交周期34天,南 北 | 简装,325万,果园西小区 2室1厅 85.81平米
陈秋宇,40692,2019.06.26,房屋满两年,底层(共20层) 2015年建板楼,挂牌365万成交周期314天,东 南 | 精装,343万,富力尚悦居 2室1厅 84.17平米
康莉琼,40491,2019.06.25,房屋满两年,底层(共10层) 2010年建板塔结合,挂牌395万成交周期121天,南 北 | 精装,380万,珠江拉维小镇 2室1厅 93.85平米
